State,Avg_Metro_Gap,Avg_Racial_Gap,Avg_Income_Gap,Avg_Metro_Gap_Standardized,Avg_Racial_Gap_Standardized,Avg_Income_Gap_Standardized,Composite_Disparity_Index,Disparity_Rank
SD,3.1516129032258067,5362.583333333333,17.78333333333333,0.0958598035418076,3.3035985440607476,1.0685109863936204,1.4893231113320586,1.0
TN,3.6571428571428575,4357.933333333333,17.9,0.7442616791220097,2.321725339847181,1.1188485981833438,1.3949452057175113,2.0
KY,4.482758620689655,2627.6400000000003,17.18,1.8032114118616112,0.6306601336267319,0.8081936225667666,1.0806883893517034,3.0
AL,3.662500000000001,2045.95,20.48333333333333,0.7511328475847451,0.062157845109347486,2.2334671449557866,1.015585945883293,4.0
AR,4.090625,2009.8333333333333,18.7,1.3002537272316168,0.02685999289662319,1.464020793312875,0.9303781711470384,5.0
MO,3.8,2487.0,17.733333333333334,0.9274928381282648,0.4932086356517193,1.046937724198026,0.8225463993260034,6.0
VA,5.258064516129032,1556.9166666666667,13.966666666666669,2.7976327965017913,-0.41578843067549454,-0.5782480278701813,0.6011987793187052,7.0
DC,,2452.366666666667,18.416666666666668,0.0,0.45936048756771347,1.3417723075378336,0.6003775983685157,8.0
ND,3.359375,3219.433333333333,15.183333333333332,0.36233923206834484,1.2090366990298345,-0.0532986477773546,0.5060257611069415,9.0
GA,4.025,1468.1499999999999,16.73333333333333,1.2160819135631182,-0.5025426350524993,0.6154724802861109,0.44300391959890995,10.0
NC,3.5968750000000003,2193.4166666666665,16.349999999999998,0.6669610339162454,0.20628123983855057,0.4500774701198776,0.44110658129155783,11.0
LA,3.2967741935483863,2034.5666666666666,17.183333333333334,0.2820463038223565,0.051032587582217424,0.8096318400464733,0.38090357715034906,12.0
KS,3.0593749999999997,1885.1000000000001,18.0,-0.022446201844792645,-0.09504546439919004,1.1619951225745357,0.34816781877685105,13.0
OK,2.590322580645162,2078.0,18.900000000000002,-0.6240613308763191,0.0934812275759227,1.550313842095259,0.3399112462649542,14.0
PA,3.955172413793104,2220.02,14.52,1.1265197867040262,0.23228143905495602,-0.33950392623892345,0.3397657665066863,15.0
TX,4.065625,1475.8166666666666,15.866666666666667,1.2681882744055217,-0.49504978225238244,0.24153593556245384,0.338224809238531,16.0
WV,2.603125,2226.983333333333,17.733333333333334,-0.6076407159210219,0.23908690405471408,1.046937724198026,0.22612797077723942,17.0
MT,1.8531250000000008,3490.35,16.883333333333333,-1.5696043007038636,1.4738113126513537,0.6801922668728988,0.1947997596067963,18.0
IL,3.809375,2243.15,13.816666666666668,0.9395173829380508,0.2548870501766998,-0.6429678144569684,0.18381220621926073,19.0
OR,3.5874999999999995,1995.4333333333334,14.816666666666668,0.6549364891064589,0.012786460680751758,-0.2115025705450549,0.15207345974738523,20.0
NM,4.034375,2372.2833333333333,12.533333333333333,1.228106458372903,0.38109275342736276,-1.196681544143925,0.1375058892187803,21.0
FL,3.867741935483872,1381.4166666666667,15.116666666666667,1.014379871592523,-0.5873096045564292,-0.0820629973714813,0.11500242322153748,22.0
AK,2.19375,3220.7000000000003,15.683333333333332,-1.1327125059483234,1.210274648622898,0.16243397417860217,0.07999870561772555,23.0
MI,2.462500000000001,2107.133333333333,17.349999999999998,-0.7880088880678037,0.12195406821636645,0.8815427140317911,0.07182929806011795,24.0
MN,2.378125,4202.2,12.75,-0.8962297913558748,2.169522695142199,-1.1031974079630102,0.056698498607771354,25.0
SC,2.6645161290322585,1913.8,16.9,-0.5288993418440384,-0.0669961328300573,0.6873833542714304,0.030495959865778206,26.0
OH,2.334375,2111.2833333333333,17.03333333333333,-0.9523443338015403,0.12600998201469063,0.7449120534596853,-0.027140766109054804,27.0
MA,4.699999999999999,1050.6499999999999,12.016666666666667,2.0818491398676757,-0.9105773364501646,-1.4196052534984132,-0.082777816693634,28.0
IN,2.2968750000000004,2040.3333333333333,16.75,-1.000442513040682,0.05666851599274005,0.6226635676846439,-0.10703680978776602,29.0
NE,2.796875000000001,2771.566666666667,13.316666666666665,-0.35913345651878614,0.7713237850195335,-0.8587004364129267,-0.14883670263739313,30.0
WA,2.84375,2613.0499999999997,13.35,-0.2990107324698596,0.6164009089719004,-0.8443182616158622,-0.17564269503794047,31.0
CO,2.9125000000000005,1489.6499999999999,15.233333333333334,-0.21083073719809833,-0.4815300695913022,-0.03172538558175785,-0.24136206412371944,32.0
ME,3.4031249999999997,345.73333333333335,16.25,0.41845377451401033,-1.5995125738000346,0.40693094572868715,-0.2580426178524457,33.0
MS,2.0500000000000007,2457.483333333333,15.1,-1.3170888596983674,0.4643611523712694,-0.08925408477001355,-0.3139939306990372,34.0
AZ,2.629032258064516,3280.0833333333335,11.266666666666666,-0.5744115974681736,1.268311680202933,-1.7432041864323489,-0.34976803456586314,35.0
IA,2.5093750000000004,1777.25,14.816666666666668,-0.7278861640188766,-0.20045035672431158,-0.2115025705450549,-0.37994636376274765,36.0
CA,3.8034482758620687,1621.9666666666665,11.316666666666668,0.931915659207726,-0.3522132035475472,-1.7216309242367522,-0.3806428228588578,37.0
WY,2.0906249999999997,476.7,18.916666666666668,-1.2649824988559646,-1.4715151014015175,1.5575049294937904,-0.3929975569212305,38.0
WI,2.078124999999999,2302.6,14.549999999999999,-1.2810152252690128,0.312989236998475,-0.3265599689215663,-0.43152865239736804,39.0
DE,,1098.6499999999999,13.966666666666667,0.0,-0.8636655623972593,-0.578248027870182,-0.48063786342248044,40.0
NV,2.7419354838709684,1901.2833333333335,13.116666666666667,-0.42959987502774466,-0.0792290294667695,-0.9449934851953083,-0.4846074632299408,41.0
CT,2.5999999999999996,1364.2166666666667,13.516666666666666,-0.611648897524284,-0.604119656925387,-0.7724073876305435,-0.6627253140267382,42.0
NJ,,1516.8500000000001,11.666666666666666,0.0,-0.4549467309613223,-1.5706180888675834,-0.6751882732763019,43.0
ID,1.9624999999999997,827.75,16.433333333333334,-1.4293179445897004,-1.128423887208343,0.48603290711253805,-0.6905696415618351,44.0
NY,3.28125,1178.2666666666667,11.699999999999998,0.26213469198679873,-0.7858539149490896,-1.5562359140705204,-0.6933183790109371,45.0
VT,2.9437499999999996,6.199999999999999,15.166666666666666,-0.17074892116548104,-1.9313482199825989,-0.060489735175886086,-0.7208622921079887,46.0
UT,2.145161290322581,1136.7833333333333,14.75,-1.1950332650700073,-0.8263967641218957,-0.24026692013918313,-0.753898983110362,47.0
RI,,518.1833333333333,12.966666666666669,0.0,-1.4309722522287116,-1.0097132717820947,-0.8135618413369355,48.0
MD,2.3225806451612905,1422.2333333333333,13.049999999999999,-0.9674719869493349,-0.5474183078010249,-0.9737578347894366,-0.8295493765132654,49.0
NH,1.809375,695.52,15.433333333333332,-1.6257188431495304,-1.2576560514378359,0.05456766320062378,-0.9429357437955809,50.0
HI,2.853125,467.40000000000003,10.483333333333336,-0.2869861876600742,-1.480604257624268,-2.081185294163346,-1.2829252464825627,51.0
